route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63738,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63740,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63742,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63744,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63746,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63748,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63750,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,63752,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7627,63763,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7627,63765,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7627,63767,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7627,63769,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63777,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63779,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63781,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63783,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63785,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63787,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63789,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7628,63791,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63801,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63803,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63805,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63807,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63809,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63811,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63813,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7629,63815,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7630,63825,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7630,63827,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7630,63829,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7631,63837,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7631,63839,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7631,63841,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7631,63843,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
298f6bffc1ba1c098dd1b3f903a0ca8a,7626,379216,Vana-Pääsküla,Väike-Õismäe - Vana-Pääsküla,A>B,33480,1
